,0,1,cluster,SMILES_standardized
387,[H]Oc1c(-c2c([H])n(C([H])([H])[H])c3c([H])c([H])c([H])c([H])c23)c(-c2c([H])c(OC([H])([H])[H])c(OC([H])([H])[H])c(OC([H])([H])[H])c2[H])c([H])n1[H],388,2,COc1cc(-c2c[nH]c(O)c2-c2cn(C)c3ccccc23)cc(OC)c1OC
388,[H]c1c([H])c(S(=O)(=O)N([H])C([H])([H])[H])c([H])c([H])c1N=c1n([H])c([H])c(C(F)(F)F)c(=NC2([H])C([H])([H])C([H])([H])C([H])([H])C2([H])N(C([H])([H])[H])C([H])([H])[H])n1[H],389,0,CNS(=O)(=O)c1ccc(N=c2[nH]cc(C(F)(F)F)c(=NC3CCCC3N(C)C)[nH]2)cc1
389,[H]Oc1c([H])c2c([H])c(N=c3n([H])c([H])c(Cl)c(=NC([H])([H])c4nc([H])c([H])c([H])c4[H])n3[H])c([H])c([H])c2n1[H],390,1,Oc1cc2cc(N=c3[nH]cc(Cl)c(=NCc4ccccn4)[nH]3)ccc2[nH]1
390,[H]Oc1c([H])c2c([H])c(N=c3n([H])c([H])c(C(F)(F)F)c(=NC([H])([H])c4c([H])c([H])c([H])c(N(C([H])([H])[H])S(=O)(=O)C([H])([H])[H])c4[H])n3[H])c([H])c([H])c2n1[H],391,0,CN(c1cccc(CN=c2[nH]c(=Nc3ccc4[nH]c(O)cc4c3)[nH]cc2C(F)(F)F)c1)S(C)(=O)=O
391,[H]c1c([H])c(C([H])([H])N=c2c(C(F)(F)F)c([H])n([H])c(=Nc3c([H])c([H])c4c(c3[H])C([H])([H])C([H])([H])C(=O)N4[H])n2[H])c([H])c(S(=O)(=O)C([H])([H])[H])c1[H],392,0,CS(=O)(=O)c1cccc(CN=c2[nH]c(=Nc3ccc4c(c3)CCC(=O)N4)[nH]cc2C(F)(F)F)c1
392,[H]Oc1c([H])c([H])c(C([H])([H])[H])c(C([H])([H])C([H])([H])C2([H])C([H])(O[H])C([H])([H])C([H])([H])C3(C([H])([H])[H])C([H])(C([H])(C([H])([H])[H])C([H])([H])C([H])([H])C(=C([H])[H])C([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C([H])([H])C23[H])c1[H],393,0,C=C(CCC(C)C1CCC2C(CCc3cc(O)ccc3C)C(O)CCC12C)C(C)C
393,[H]Oc1c([H])c([H])c(C([H])([H])[H])c(C([H])([H])C([H])([H])C2([H])C([H])(O[H])C([H])([H])C([H])([H])C3(C([H])([H])[H])C([H])(C([H])(C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C([H])([H])C23[H])c1[H],394,0,Cc1ccc(O)cc1CCC1C(O)CCC2(C)C(C(C)CCCC(C)C)CCC12
394,[H]Oc1c([H])c([H])c(C([H])([H])[H])c(C([H])([H])C([H])([H])C2([H])C(=O)C([H])([H])C([H])([H])C3(C([H])([H])[H])C([H])(C([H])(C([H])=C([H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])[H])C([H])([H])C([H])([H])C23[H])c1[H],395,0,Cc1ccc(O)cc1CCC1C(=O)CCC2(C)C(C(C)C=CCC(C)C)CCC12
395,[H]c1c([H])c2c(c([H])c1N=c1n([H])c([H])c(C(F)(F)F)c(=NC3([H])C([H])([H])C([H])([H])C([H])([H])C3([H])N(C([H])([H])[H])C([H])([H])[H])n1[H])C([H])([H])C([H])([H])C([H])([H])N([H])C2=O,396,0,CN(C)C1CCCC1N=c1[nH]c(=Nc2ccc3c(c2)CCCNC3=O)[nH]cc1C(F)(F)F
396,[H]c1c([H])c(S(=O)(=O)C([H])([H])[H])c([H])c([H])c1N=c1n([H])c([H])c(C(F)(F)F)c(=NC2([H])C([H])([H])C([H])([H])C([H])([H])C2([H])N(C([H])([H])[H])C([H])([H])[H])n1[H],397,0,CN(C)C1CCCC1N=c1[nH]c(=Nc2ccc(S(C)(=O)=O)cc2)[nH]cc1C(F)(F)F
